topic,review
Great Service Great Food,"The wait staff, Paul, Roy, Sitah & Moef, have been most wonderful. Their food recommendations were on point. They were attentive to our needs to. Grilled seafood platter was delicious! We'll certainly be back!"
Marvellous restaurant that one must try,"We had our 16th wedding anniversary dinner at Origin Grill. This was our 2nd visit to this restaurant and it again did not disappoint us with the marvellous service and food.

We had seafood bisque, Hokkaido scallop and tuna tartare as starter, followed by Lumina Lamb Rack and Kagoshima Wagyu as main with Japanese pumpkin as side, and finished with floating island (mango and passion fruit) as dessert. I would say that all food was amazingly and deliciously prepared by chef Nathan and his team. My wife and I were also delighted to be served by Paul and Yantin with great Shangri la way of hospitality.

Paul also took the effort in taking great photos of us during the meal, and chitchatting with us when serving the food sharing his experience and challenges overcome during the pandemic.

Thank you restaurant Origin and the team behind it in making our wedding celebration a memorable one."
"Best Quality Food and Service, Only Shangrila!","all the staff are super friendly and warm! also shoutout to Justin Lim and Shelley Leow who coordinated everything from the menu, reservation and dessert request! Also Yatin, Paul and Pei San was very nice when explaining and serving the food to our tables and also Yatin bery good in taking pictures! Thank you our family is super happy and always love Shangrila! Nothing beats the service and good quality food! By the way we love the food super esp the beef carpaccio, the wagyu beef cheek and seabass, plus the Mandarin Vanilla and Sesame the best! Love it!"
"Great Service, Great Ambience, Great Everything!","Had one of the best dinners since the COVID reopening. Food was fabulous, service (thanks to Paul, yatin, Roy and Moet!) was attentive and service was great! Had the platter for 2, the serving was generous and 2 of us were really full. The beef was done exactly to the dones we asked for. The waygu melts in your mouth. The dessert floating island is a must try, instead of the usual vanilla creme anglaise, they did a passion fruit and mango base custard and the acidity balances the sweetness of the meringue perfectly."
Amazing birthday dinner,"We had an amazing birthday dinner, food was delish, service by Paul & all the team was fantastic. We had a cooked to perfection tomahawk steak with 4 different sauces, potatoes, salad & creamed spinach. They did not have any Pinot Grigio but went and got us a bottle from the bar. Paul then surprised us with chocolate cake & candle for my birthday."
Birthday,"Have a wonderful birthday dinner here. Food is delicious and the service really good too. Paul is very helpful , he take many nice photos for us. Highly recommended :)"
Amazing curated set dinner by Britt & Team,"Origin consistently raises the bar in relation to service and food quality, at reasonable prices (considering 5 star setting and cuisine). Britt planned an unforgettable set dinner as part of a celebratory event for my colleagues and me. Delicious bespoke meal paired with wines and Origin Bar’s new cocktails. Kudos to Roy, Paul, Marcus and Rebecca for the attentive service!"
Very good food,"Had family lunch here yesterday. Food was still good. Got to meet the chef. Service was exceptional by Paul-cheerful, attentive and gave great suggestions!
Met by Shelley, Vin and Sitha who were as usual, very friendly."
Brilliant Experience,"After so many months, still having a good experience here.
A great team provided a good experience.
Special thanks to the staffs:
Service -Britt , sitha , Moët, Pei Shan and
Chef -Ganesan"
Excellent lunch,"Good food, nice enviroment, attentive services especially from Service -Britt , sitha , Moët and Chef -Ganesan"
