topic,review
Perfect birthday!,"Everything was perfect! We loved our time here. The food was excellent and the service was wonderful. Thank you to Lenny for the wonderful service and to the wonderful sommelier? From turkey, you all made my birthday one to remember!"
Dinner,Had a lovely time having dinner here. Food exceeded expectations and service was very pleasant. Special compliments to Sheryll for her kind recommendations and polite service towards me and my partner. Would definitely be coming back here again.
Delightful meal and view,We first saw 1-Atico on TV and wondered if it was as good in reality. We didn't know where it is but chanced upon it. Thank you for working on a public holiday so that we could enjoy ourselves!
Birthday lunch,"A surprise birthday lunch from my missus saw us visit Attico - Flnt which was located on Level 55 at Ion Orchard. Entry was made possible through a set of lifts located on level 4 (having to walk through what used to be the art gallery).

Alighting from the lift immediately saw ceiling to floor window view of the skyline. Although the reception counter was vacant, someone eventually attended to us and shows us to our table. As we took our seats, I drew in the sprawling views of some of the high rise residential buildings and landed enclaves in the Orchard area.

The service staff came to take our orders promptly. A quick decision was made upon our choice - lunch set which saw us gravitate to our favourite dish in any Japanese kitchen restaurant - Bara Chirashi for our mains.

Presentation of the dish was mesmerising with eye popping colours. The usual richness in umami flavours which we gave grown accustomed to saw a refreshing change. Our dish saw an interesting interpretation where ingredients of capsicum, cherry tomatoes and roasted corn gave it a zesty tanginess.

Thanks to Lenny for the service and in helping us with the beautiful photos."
Excellent Food and service,"We had the $168 tasting menu for dinner. Good portion was good, presentation beautiful and taste was yummy! All of us enjoyed. The service of Sheryll is excellent! We enjoyed this family diner very much.
The Yu Sheng is so unique and generous with sashimi and caviar! Must try!"
FLNT,"Love the ambiance with amazing views, great service (Sheryll) and enjoyed the Peruvian Japanese food selection! Reasonable price for the experience. Looking forward to trying Fire (connected) in a next trip."
Birthday Dinner with friends ~,"Nice environment, friendly staff. Food is nice, loved the side dishes too. thanks ah bang Heydel ~~~"
You must come to this restaurant,"From beginning to the end, the service was impeccable under leadership of Haydel. The staff was attentive without being intrusive, warm without being over familiar.

The food was pretty to look at and delicious to eat.

The view was breathtaking. Get a table by the window.

What is there not to like about this restaurant?"
Excellent restaurant with best view,"The food was delicious, the service wonderful. The Lady Sheryll and the gentlemen waiter were very kind and professional. They gave me a dessert cake for my birthday 🎂 it was a very special detail. I highly recommend this restaurant."
Very nice restaurant for a date,Food and service were very good. A bit pricey but definitely worth it.I recommend for a couple/date night!
Great good and ambience with good service,Tasting menu is interesting. And thanks to Sheryll for the great service Ambience is fantastic as usual.
"Great food, great service",Excellent service and food! You can inform the staff during booking if there is any special occasion you are celebrating (which I did not) however the staff still approached to check in with me while the wife was away from the table and gave us a complimentary slice of cake for celebrating our 1st year wedding anniversary :)
Totally enjoyable,Very enjoyable evening. We enjoyed the food and ambience. The view was mesmerising. Cannot ask for more. We chatted and drank the night away!! 🥰
Great food and service,"Great view and ambience. Excellent food and excellent service especially from Sheryll. She was warm with her service and very attentive, making great recommendations for an excellent dinner."
Anniversary lunch,"Nice atmosphere and food. Service was excellent by Sheryll, as well as her superior. Will be back soon with our kids."
Will Come Back Again,"Food was excellent and the service by Sheryll was attentive. Welcoming atmosphere, was offered a window seat when arrived at 6pm"
"Nice dinner, service and ambience","Restaurant that serves jap food with great service by Sheryll, and great ambience. Had a wonderful evening!"
Excellent,"Interesting food, beautiful view, excellent service. Thank you Sheryll for our pleasant experience — very attentive and prompt."
Excellent Service and Quality,Excellent and very attentive service by our server Sheryll she took care of us with great care. Food was amazing quality and taste from the appetizer all the way to the desert. The wagyu was the best steak I have ever eaten.
Pleasant family lunch,"Would like to thank Sheryll for the great service and being so attentive especially since we had a 1 year old baby that was quite a handful. If u are looking for a restaurant with good service and a great view, this is the place!"
Dinner,Food was amazing. The warm sushi is a must order! Served by a v friendly and helpful Sheryll :-) will come again!
Lunch visit,Awesome view you won’t regret coming for. Very happy with my lunch choice of Bara Chirasi Don. Served by Sheryll who took good care of us.
Lunch,"Ordered dish from main plate category. Food is great, though portion is slighly small. Service is great, especially Sheryll who were helpful and patient."
"Great food, ambience and service","Service is great. Price isn’t cheap but the food are definitely worth the price. We had Sashimi, otoro and lamb, they are great."
Scrumptious Japanese-Peruvian fusion and wonderful service by Kavin!,"Everything we tried on the menu was extremely good and our server, Kavin, was very attentive to our needs. He checked in on us often and even offered a shawl when he saw us rubbing our arms. The exceptional food and service will definitely make us come back again!"
Mr,"Food and views were good. Service staff were very friendly and helpful, Sheryll has been wonderful in her service."
Birthday and Anniversary Dinner,1st time to the restaurant. View was great at level 55. Food is awesome! Will come back again the next time round.
Great food and ambiance,Great food and Service was excellent. Our server Sheryll was attentive yet unobtrusive. Will definitely come back again.
Fantastic Service by Ms Sheryll and Great Food,The service is impeccable. Ms Sheryll is extremely attentive to all the details. :) Food was great altogether. Highly recommended.
Lunch,Beautiful restaurant with awesome view! Sheryll who served us always check on us to ensure everything is ok! Will definitely come back again
Birthday Celebeation,"Came here for birthday celebration. The service staff, Kavin and the manager were very observant (gave me a cushion for my back) and helpful. Very good service! :)"
FLNT Good Service,"Good service by Sheryll, the food is quite nice too~ but don’t expect Michelin Japanese food~ nice for celebrations"
OverPriced and Worse if not for the View,"Had lunch at this up market Jap/Peruvian restaurant and ordered the set lunch of Spiced Peruvian Chicken wrap that came with a pathetic 2 palm sized wrap with tiny bits of chicken in some skewer. The seasonal fruit starter featured 3 measly slices of strawberry and the soup that was claimed to be corn miso tasted more like corn soup from your Campbell can, argh. totally unsavoury and lacks class for a restaurant of such standing in the heart of Singapore's shopping belt. Would have gone to some kebab joint at some street vendor and gotten chunkier pieces of meat with better sides and dressing!! Only saving grace was the view offered. Wouldn't ever return again."
AWESOME,Awesome service given by Ms Sheryll Very attentive very sensitive and she give us good recommendations on the food. We were given seats by window with Super nice view!!! Will Definitely be back!!!! ❤
Amazing food and view,"Our waiter for the night was nothing short of fabulous, he was a so pleasant and could not do anything more for us. He was always close by and every so willing to assist."
Dinner at Flnt,"Food fantastic great view with window seats. Was served by Kavin, very friendly, always looking out if we need anything, knowledge of all the food and will tell you about the food every time he served. Great personality!"
Good dinning experience,"We try the food tasting menu and our experience with the good with various dishes. They are tastefully done and well presented. The waiter and waitress were helpful in explaining each dish and help us appreciate the good better. The ambiance is great and cosy for dinner. The only problem is finding a car parking lot at 7pm, it took us 25-30 min to finally find a car park. Suggest valet service be available to aboid this problem"
Great service!,"Chose to visit FLNT for the great view and in celebration of my mum's birthday. Food was not spectacular but service rendered by Sheryll was superb. She was attentive and accommodating to our requests. Thanks to her, we had spent a good time at FLNT yesterday."
Thursday Lunch,"- Ambience is good - View is amazing, even from the restroom - Service crews are friendly - Food presentation is very good - Food quality is amazing"
Good view good food good service,"Great view and exceptional service from Sheryll
She waited on us with patiences, was very friendly, and candid ☺️
I loved my Yasai Don however I do hope that the capsicum could have been julienned instead of being served as a “steak” whole piece of a capsicum.

Loved the view, our waiter did recommend sunset time 6-6.30pm,
Would definitely be back here"
Dinner,"My wife surprised me with a birthday dinner. Great ambience, great view and exceptional service by our waitress, Sheryll."
Good food,Nice ambience n friendly service by Sheryll:) we love all the food here and we return for visit again.
Beyond Expectation,"This was our anniversary celebration and with our new addition of family member. Staff were friendly and helpful to support our needs on the baby. The environment was lively, tasting menu full of surprise and some dishes were beyond our expectation such as the starter and scallop.

Our waiter was Kavin and he provided an excellent service with attention to details. Our meal were delayed mid-way due to busy kitchen, Kavin kept us updated and apologised sincerely. In the end we got our drinks waived due to delay of services which was surprising but satisfied. Overall, if I visit Singapore again I will definitely come again."
Dining at Flnt,Superb food and service. Sheryll their staff is so attentive. The dishes are explained meticulously by the staff
Birthday celebration in FLNT,The food and the service are excellent . Especially thank you to Sheryll☺️. She gave us best service for my birthday celebration ☺️
Yummy Food and Good Service,Waitress Sheryll gave excellent service . Interesting Japanese Fusion food . Enjoyable! It was wonderful !
Service is fantastic,Food is good and service is great. I am looking forward to coming back for food and drink. Nice place nice ambience
Dedicated service,Sheryll is a very dedicated waiter who made sure that we were well taken care of. A pleasant experience. ——————————————-
Birthday Dinner,Good food & fantastic attention and service from Sheryll. Good ambience and view. Acceded to my request for a window seat. 2nd visit and will be back.
Birthdate celebration,Birthday celebration- The view and food are great!! Excellent service from Sheryll! Definitely will come again!!
Good Review,"Hi, I would like to praise your staff, Kavin for his great service. He is very attentive and provided a great service. The food was also good and tasty. Would recommend family and friends to come over to try too."
Nice but not great as expected.,"Delicious food and presentation with excellent service by Vivian but…
we had requested a window as it was our 25th wedding anniversary and we were given one but it was at one end with only a partial view - 50% of my view was looking at frosted glass, the other at the darker backblocks of Singapore.
The other thing was the lighting was so bright in such a large cavernous space it was like sitting in a cheap cafe looking at more of a reflection of the lights in the glass rather than the view so no points for view or ambience.
We expected it to be $$$, not a problem with that, but given the wine was about $150 up a bottle and the evening over $400, we would not return for the same experience."
Birthday celebration.,Good food with nice view. Repeated customer. Was there again to celebrate a friend's belated birthday. Must try their grilled cod. My favourite 😋
Decent food and experience.,"Decent dining experience. The Ibero pork and miso cod were decent. Staff were friendly, shoutout to Heydel for his excellent hospitality and service."
