topic,review
Poor reservation service,"This was our first time to the restaurant. We made a reservation for 2 pax and we arrived on time. There was a couple ahead of us who didn't have a reservation and they got a table in the restaurant itself (ie air-con). Next was us and I informed the staff that we had a reservation and she said she'd check. She came back and said that they only had tables outside (no air-con but there're fans). Clearly they didn't reserve a table for us and I was very disappointed. The couple that didn't reserve a table got to sit inside but we had to settle for the outside. This just spoilt the whole mood. What's the point of making a reservation when those that didn't, got better seating?

We ordered beef ramen and volcano ramen, chicken gyoza and beef wrapped golden mushrooms. Drinks were sour plum and cold green tea which was a disappointment cuz it was just Pokka green tea (for $2.80). The ramen itself were good, but nothing fantastic. Beef wrapped golden mushrooms were bland, but the gyoza were fantastic. It was so crispy and had nice amount of filling.

Overall, we wouldn't purposely come again unless we're with a group that wanted to eat there."
Great tasting halal ramen.,"friendly staff, great tasting food and in a calm comfortable setting. This is the best tasting halal ramen I have had so far in Singapore."
Good Food but Greeted with Rudeness,"Everything else was great. However we were greeted with this short hair waitress. She was rude and obnoxious. When she showed us to our seats, she yelled at us. Ruined our experience when she quickly clean the table. As if we’re being shoo’ed away. After the meal, we felt like everything was rubbish. Food great but service ruin it. Other staff were accommodating but just her."
Ramadhan break fast,The ambience was good and ordering was made easy the only downside was the gohan menu came late and my order which was curry rice came at least 5min after the break fast timing while others already had theirs served. Would like to have them at least serve them by break fast timing
Never again,Sick and tired of poor soft drinks selections then refusing to provide tap water unless it's hot or comes in a plastic container. Encouraging destruction of the environment for a significantly overpriced bottle of water probably bottled from tap water anyway. Then continuing to argue about it although we've already ordered 2 premium drinks and $60 worth of food. Absolutely pathetic will never come here again but make your own mind up. Hundreds of better restaurants around here.
Amazing late night delight,"A wide range of options to choose from. It’s a rarity nowadays to find a place that is open till 2am. The squid, chili crab sushis were good."
A very peaceful experience,The service was fast . The servers was attentive n helpful. The ambience of the restaurant was calming . Overall me and my boyfriend enjoy our dinner there and would definitely come back . Our go to Japanese restaurant
Overall great supper place,"Chicken ramen was okay, gyoza is good. The atmosphere is chill, staff is nice, music was ok. Thank u ramen stallllllllll"
"Good food, atmosphere, plating and staffs.","The staffs were attentive, friendly and polite. The food was amazing. There are a few dishes would love to try out but it was sold out. Will come again next time"
All time favourite,The food was delicious as always. Excellent service and the staffs were friendly. Fresh ingredients.
Visit,"First time here and it was an amazing experience, right from the get-go with the welcoming staff and setting, right down to the food! Will definitely come back again :)"
Review,Came here before and they never disappoint! Service is really amazing! I definitely recommend coming here to eat with your family
Recommended Place in Singapore,Very nice food with a great ambience and good customer service. Will definitely bring my family and friends to eat here.
Recommends,Me and my two kids lenjoyed and love the beef kimchi. Teriyaki Chicken is good too. Recommended to try
My review,Great food and atmosphere. Great service as well. Ill recommend Teppanyaki Beef With Black pepper as a side dish
Awesome food and atmosphere,"Had their mushroom udon and the sashimi platter for 2 and the food was great especially the udon as for those who can't take spiciness, you can have this. Sashimi platter was a bomb! Would definitely recommend this place to anyone who want to eat halal japanese food!"
Good service and food,The food and service was good and the staff were really friendly. Would definitely come back again!!
Seriously Love It,"Been here many many times. Friendly staff, nice environment at a good location. Love the volcano ramen and their beef wrapped mushrooms. Must try for halal Japanese food!!"
Great food and service.,Food portions were good. Sashimi was fresh. Great ambience and service. Recommended! :) will come back for more.
Really good,"We ate at most of the halal ramen stalls, and we’re quite amazed at the variety of food they have, and so far the ramen and sashimi is very good!"
The Ramen Stall Bugis,Great service. Fast and absolutely delicious food 🍱💯 with one of the favourite places to eat in SG !
MY Favourite,Been here many times. The food here Always make me smile.. Good Job guys. Keep it up. Love love ❤❤❤🌹
The ramen stall,Friendly staff and great comfort food. Would definitely come here again for halal ramen. Will try the different dishes next time around
Ramen,"Nice soup base. Ramen is good! Nearby parking is around the road side, convenient but may be too little lots around though."
Review - The Ramen Stall,"First time trying out the Ramen Stall and I got the Volcano Ramen (Level 1 Spicy) while my partner got the Chicken Cha Shu! The broth was good, not too spicy for mine and full of flavour! We also got the Chicken Gyoza as well, love this as it was crunchy and good!! :)"
Review,"A first time for me with Japanese food, and im glad i had it here. I had the chicken cha shu and my partner got the volcano version and we both loved it. We also had the gyoza on the side, love the crunchness beside the soup. Would come here again !!"
Pleasant dining experience,"Pleasant experience dining at The Ramen Stall. Friendly staff, great food. Would return in the future for another meal. :)"
Impromptu dining at this place,"Passed by this place by chance and after reading all the good reviews online, decided to give it a try. Food was above my expectations and the volcano ramen is good!! The truffle maki and the healthy bowl also worth trying. Will definitely go back here again and recommend my friends here."
The Raman Stall,The volcano ramen is very tasty. Very nice broth. The spicy level is acceptable. If like spicy can opt for level 3. The server is very friendly and helpful.
Lunch on a wkday,Awesome food with great staff to accommodate kids. Will definitely come back again. Highly recommended
Good lunch for 2,The service here is good. The staff and the food is nice. The ambience is amazing and most importantly we didn't have to wait long
Always a good time,"Coming back here after a long time and just like always, we love the food and portions! Service was excellent and we definitely will recommend to our family and friends"
Ramen,Really good dry ramen! Flavourful and nicely cooked noodles 👍🏼 will come back again for their sushi!
Tasty Japanese Food,"Good variety of Japanese food with fresh sashimi, bbq, sushi ramen. The team is friendly and helpful."
Ramen store,The Ramen Stall provides a fast service and love the thick cuts of the sashimi. The waiters are all friendly too 😊
Great Sashimi,"Amazing food provided, enjoyed having a meal with my boyfriend. Will definitely recommend this place and come again"
Review,Good food and friendly staff! Value for money food and great taste. 100% would recommend to locals and tourists
Good food,Food is good! I tried the truffle sushi and volcano ramen. It was good. The truffle sushi has strong truffle taste and has salmon in it. The volcano ramen is good for people who cannot take spice but wants a little spiciness. Good place to dine
Customer service is amazing,"Warm and cheerful welcome by staff, so delightful. And the food is Amazing… omyy the good is amazing . we forgot to take it …. love the volcano ramen . both of us got valcano ramen plus sashimi and chicken stew ……………………………..::::::"
Dinner,Good customer service 👍🏻 and good food !! I definitely will come back again and recommend to my friends !!
Good food good service,"Came on a sunday night, thinking we might not get seats. But we were lucky! They got fast service and good foods. The portion is good too! Will come here again."
Best Japanese Stall Around!,Food is amazing and worth the price. The staffs are also friendly and lively! 10/10 would recommend!
"Delicious Remen, nice ambience.","Food was delicious! Both me and my wife enjoyed the volcano ramen and we both had the same thought that it wouldve been even better to enjoy it on a rainy day. Nontheless, the food was delicious and we get to enjoy a complimentary frozen yogurt from writing this review"
Yummy!,Totally blown by the yummy sushi & salt & pepper cuttlefish. Service was also great. Will definitely come again 😋
Fantastic Customer Service,Quick and efficient way of ordering just by scanning the QR code thats been given and the food arrived quick too. Highly recommended!
Surprising nice place for dinner,Good food. Great taste. Came with love one and enjoy the service for dinner. Would recommend to friends to visit the place.
RECOMMENDED RAMEN STALL,"A big portion of ramen with exceptional taste! They also provide very good and fast services, didn’t wait long to get our food. Definitely gonna come back again!"
Food review,"Ramen was very delicious , I could taste the different Ingredients and the soup was tasty. I recommend the sushi platter 10/10!!"
#ramendinner,Very flavourful broth and huge portion of main serving. Appetizer choices are endless. Service was efficient and satisfying. This is my favourite spot to go to for our ramen fix. Will definetly return again. Keep up the good work.
A good lunch :),Affordable and tasty food :) friendly and fast service too. we ordered 2 ramens and 1 plate of sushi.
"YUMMY, WORTH THE TRIP",The food was delicious and the service is good. This is my second time dining here and I’d definitely come back again. (the seafood truffle maki is officially my fav dish!!)
Midnight spot,Good supper spot after working . Lots of food choices. Friendly staffs. Nice ambience. Reasonable price with good food quality.
The Ramen Stall Review,The food is amazing and looks so good. Employees were so nice and welcoming. A great eatery spot for night goers and working people.
