topic,review
New Year & CNY Lunch Gathering,The Swenson Salad Bar provide a good variety of vegetables and sauces for our selection! It’s provide a good starter to the lunch 😊
Team Lunch,"The fish and chip is good. All time classic! If you had to come back for a second time, I would most prob go for the grilled sea bass."
2x New Year Lunch Celeb,"Salad was fresh, service was prompt, and the fish and chips passably seasoned. Restaurant was clean and has good circulation."
Welcoming the new year,The staff attending to us was friendly and rendered their help and support when I was making reservation. Also the portion for the food was huge and the salad: yusheng has a wide variety and is very fresh!
Awesome food!,Great variety of food and generous portion. Swensen has managed to maintain its food quality all these years. Never disappoint. And what a pleasant surprise to see the salad buffet back again!
Ringing in the Gregorian and Lunar New Year,Excellent salad buffet. Lots of vairiety. The onion soup was superb. Service was great and the rack of ramb was awesome! Well done Earle Swensen's!
Swensens,"Great meal at Swensens! Huge selection at the salad bar, including cold cut platter, cheese platter and even soup."
Food,"Salad bar is good! Food is awesome, friendly environment. Service provided is excellent. Highly recommended"
Birthday,"Have celebrated here quite often with family and friends. Good food, nice ambience and if you are lucky, a table with a view"
Dinner,"dont come too late bc they wont top up the ham, but iverall great selection in salad bar with great view too"
Lunch with colleagues,"Food portion is big with reasonable price, friendly staff and has a salad buffet option at affordable price."
Great Food at Earle Swensen’s,Earle Swensen’s has great food and good ambience but most items on the menu are sold out. There’s complimentary salad buffet for a review.
Nice place for team lunch,Nice ambience with excellence view of Sentosa. Nice space for a large group gathering. Food was reasonable.
Earle Swensen,"The menu for Earle Swensen is more special compared to the usual Swensen restaurant. However, most of the popular choices they have are sold out."
Farewell lunch,A lot of food is sold out. The other food is fine but we did not manage to order the food that wanted. The desert looks good though but we did not order any.
Farewell for team member,Have a very nice view and spacious space for gathering. The food looks great... Will try their big swesen's sundaes next round...
Date my children’s dad,Nice environment with yummy halal food. It has been one of our choice for family dining. Salad buffet is one of the attractiveness for healthy balance meal.
Salad buffet is back,Good buffet spread ! Fast services as well. I am glad their salad buffet is back though they adjusted the prices but still a bargain !
Welcoming and helpful reception at entrance,"There was a short queue when my friend and I decided to pop in on a weekday night. Fortunately queue moved relatively fast and by the time it reached our turn, I was pleasantly greeted at the reception and quickly shown to a table. Staff who showed us in was helpful with some queries we asked about the menu and salad buffet, and was also frank enough to inform us in a diplomatic and polite manner that food would take some time, but we could help ourselves to the salad buffet first while waiting for our main courses. Would visit again based on the warm and helpful service received today."
Nice place to dine at,It is nice to have a meal and ice-cream with friends and family at Swensens! The service from the staff is nice.
Good food and service,Food is good and service is great. Was very accommodating of our huge baby stroller. Ambience is nice too!
Day off dinner,Dont mind waiting 45mins for the mains when we have the complimentary salad that we enjoy with lots of toppings
Leisure,Glad to be able to have a complimentary salad while waiting for the main course. We enjoy the earle’s salad
Yo get my free salad,The salad was tasty and the spread was wide. It gave me a wide varieties. It was delicious and refreshing.
earles trip,"its a great joy to be eating at this amazing restaraunt, earles. i hope to come again as the food is delicious."
Visit to Earle,Nice ambience and good service. Quick service. Definitely coming back to here again. Thank you for your service
Earle’s delights,Perfect for family get togethers and celebrations. We enjoy the food and kids love the ice cream and fries.
A trip earle,Awesome service by the staff. Even though we were so many of us they were very professional and patient with us .
Good location and food,"We visit earle swensons from time to time, and generally enjoy the food and service. Kids love the ice cream and fries, always."
dinner,"good food great service. glad that the salad bar has returned🙂 ordered the impossible burger, margherita pizza👍"
Good food and Great service,"Food is good and big portioned. I like their meatless burgers! And the salad bar has returned, finally! I have always enjoyed the service here. Earl Swenson makes an effort to hire autistic workers and I applaud them for this. Date of visit: Dec"
Good service,"I like the service here, very warm . They have very good service and always top up warm or cold water for us"
earl swensen,Great service. great food. lovely ambience. good place to enjoy with views of sentosa. can consider when heading over to vivocity
good food,"The impossible burger was very tasty and is the by far the best i have had since 2006, the burger also came very fast and was still warm when i got it, which is unlike other restaurants."
Good burger,"The golden bun burger was very tasty and is the by far the best i havae had, the burger also came very fast and was still warm when i got it."
Free salad bar,Offers free salad bar from Monday to Thursday upon completion of review. Salad bar looks pretty good.
Food,Food selection was good. Good salad bar. We were shown our seats after a short wait. Couldn’t ask for more
5 star review!,"Friendly stuff, good salad bar and fast service! Location is convenient and food is delicious. Will come back again."
Complimentary salad bar,There is a complimentary salad bar and the locations is excellent. Will come back again for the salad.
Complimentary Salad Bar,Nice place with complimentary salad bar. Every review on trip advisor reward you with complimentary salad bar worth $6.
Food quality and services,Food were prepared and cooked to our expectations. Services of the staffs were friendly and able to answer our queries. Will return next time.
Great restaurant for all occasions,Great meal place for all occasions and now buffet bar opened again too. Nice menu options. It's halal too so good for Muslims. Good salad spread options.
the return of Salad Buffet,"Finally, the long awaited Salad Buffet is back. It have been awhile since my last visit to Earl Swensen. Loving it. Thank you."
Food,"fantastic service, ambience was awesome with great view. Comes with salad bar with wide variety of selections. A little more atas than swesens but price was reasonable."
Food,The food here was fantastic. Saladbar had a great variety and was delicious. The steak was well seasoned and cooked to perfection.
Good Foods,Good Foods provide From Swensen Vivo Fantastic atmosphere nice view. we order chicken creamy tomato is super delicious ! My wife ordering Buff burger is super yummy too! The meat is tender super duper yummy
Yummy Mains and Salad Bar,Salad Bar and mains were very yummy! Really good experience alongside the very helpful and friendly staff! Would come back again 👍🏻
Came for the salad,"Salad and chicken was good! The food here is tasty and better than expected, although waiting times may be long during peak."
very good food and service 🫶,food came relatively fast and service was fast and helpful :) Food was nicely seasoned & Salad bar was good too with variety and really enjoyed this overall experience:)
Carol Tan,"The staff are friendly & nice. The ambience of the place is also very suitable for family meals. Love the salad buffet with the huge selection of salads, crackers, cheese and sauces. Family totally enjoyed ourselves. Highly recommended."
