topic,review
Friendly service,"Good service by Chris (Manager) Wild mushroom soup is a must-try. ++ for a suprised birthday cake, thank you."
Love the food,delicious food great atmosphere for birthday celebrations. Staff was extremely helpful in service and singing birthday song
Top notch service and yummy goodness,"From the entrée to desserts, we were presented with visually aesthetic and tasty dishes. To say we were satisfied is an understatement.
Strongly recommend the chef’s special - some meat dish that’s soft and tender. Also their signature Macaroni n Cheese - best in town hands down! Gotta try their truffle fries, wild mushroom soup and bruschetta✅
Lest we forget, there’s the crème brûlée, tiramisu, pink drink and salted caramel latte. We have every intention of coming back for more… and soon! Shout out to Khai/Kyle for the outstanding service!"
Amazing service and positive response to feedback (regarding the consistency of food quality),"Visited Positano Risto for about 4 to 5 times and have always returned for the pesto pasta. Today’s pasta texture was slightly watery (& was not topped with cherry tomato) so we gave our feedback to one of the staff and he was generous to have given us a dessert as a service recovery.

Truly a fulfilling dine-in everytime I return here. Thank you Positano Risto! :)"
Awesome service by Yazid and team!,"1st time coming here and got to say I didn’t really imagine the food will be this nice. the portion, the presentation, the cleanliness, the yumminess 🤩 the customer service was above expectations too! Definitely coming back to get service again from Yazid and team!"
Positively Positano!,"Our family had a couple of the Signature Lobster dishes which were sumptuous, delicious and very filling. Service was knowledgeable and helpful as well. We'll be back."
Birthday celebration,"Such a good and chill place to have a birthday celebration. Our server Khai was attentive to our needs and regularly checked back on us without being overbearing.

We ordered the arancini, strip loin, gnocchi and tiramisu. Received a sponge cake covered in caramel sauce as a birthday surprise which was so good!

Arancini - nicely breaded and crispy. Cheese and rice combination really flavorful

Striploin - cooked in the doneness we requested. Meat was so soft!

Gnocchi - soft and pillowy gnocchis. Cheese and truffle always works. Reallyyy good

Birthday cake haha - sponge cake covered in caramel sauce. Very decadent! Appreciated the slighty burnt notes of the caramel sauce cz it can be slightly too sweet

Tiramisu - so light and a perfect end to a meal. Better to pre order to avoid missing out!

Cucumber cooler - soo refreshing!

Salted caramel iced latte - soo smooth and just the perfect sweetness. Loved it

All in all such a great evening made even better with the best service from Khai.

Thank you so much!"
The Go-to Halal Restaurant,"Brought my wife here for her birthday and it was just the perfect evening.

Arancini balls - to die for
Striploin steak - the right temp, elegant seasoning; go for the bone marrow butter; they should bottle it up and sell it!
Gnocchi - pillowy, creamy, perfect portion
Tiramisu - one is not enough; it’s that good! but best to pre-order to avoid missing out

Cucumber cooler - Fresher than the Prince of Bel-Air; must get
Salted caramel coffee - the best! Smoother than Michael Jackson

They also served a surprise sponge cake drenched in sexy caramel sauce for my wife’s birthday.

And if you thought the food is amazing, the service was on another level. we were served by the personable Khai, who made the mains much tastier and the desserts much, much sweeter. This chap deserves a raise!

Kudos Positano, we’ll definitely be back"
Cosy Chillax Dinner date,"Upon arriving at entrance,greeted by Positano staff with smile..Khai attended to us with professionalism yet approachable with our questions regarding about menu. He will check in asking how our food, even updating us when our food will be arriving..thats a plus point.A gold gem to Positano team.ambience is cosy and Positano staff are always running the floor attending to every customer needs and wants. Highly recommended to have a special moment or casual dinner dates.."
Great food with excellent service,"My wife and I came here for dinner. We had the steak and cheeseburger. Although the doneness of the steak was not what we requested for, they promptly replaced it and the steak was amazing. Cheeseburger was really good too!

Shout out to Khai, who was serving us through the night. He was polite, attentive, and offered us dessert to celebrate my wife’s birthday. He definitely made our experience here great and we felt well taken care of.

We both had a really good experience here and would definitely come back again."
